trait,model,boot_i,boot_j,spearman_full,jaccard_top_k
Insoluble_Oxalate,RandomForest,17,22,0.2801318821145771,0.0
Insoluble_Oxalate,RandomForest,17,23,0.2415983690568243,0.0
Insoluble_Oxalate,RandomForest,17,24,0.2841389405860712,0.0
Insoluble_Oxalate,RandomForest,17,25,0.27323916165270024,0.0
Insoluble_Oxalate,RandomForest,17,26,0.30124085635702885,0.0
Insoluble_Oxalate,RandomForest,17,27,0.23745495680042056,0.0
Insoluble_Oxalate,RandomForest,17,28,0.30019001942198276,0.0
Insoluble_Oxalate,RandomForest,17,29,0.28178820670359034,0.0
Insoluble_Oxalate,RandomForest,18,19,0.21928041623728095,0.0
Insoluble_Oxalate,RandomForest,18,20,0.3600657774595934,0.1111111111111111
Insoluble_Oxalate,RandomForest,18,21,0.3034028823956295,0.0
Insoluble_Oxalate,RandomForest,18,22,0.25237839168084747,0.0
Insoluble_Oxalate,RandomForest,18,23,0.33511049276464727,0.0
Insoluble_Oxalate,RandomForest,18,24,0.2871707750196107,0.0
Insoluble_Oxalate,RandomForest,18,25,0.22957587926769757,0.0
Insoluble_Oxalate,RandomForest,18,26,0.230291377282852,0.0
Insoluble_Oxalate,RandomForest,18,27,0.2721883834450319,0.0
Insoluble_Oxalate,RandomForest,18,28,0.3584242437801414,0.0
Insoluble_Oxalate,RandomForest,18,29,0.2485439972929475,0.0
Insoluble_Oxalate,RandomForest,19,20,0.2675562475442867,0.0
Insoluble_Oxalate,RandomForest,19,21,0.24429740103388148,0.1111111111111111
Insoluble_Oxalate,RandomForest,19,22,0.26322666390741206,0.0
Insoluble_Oxalate,RandomForest,19,23,0.243984848336547,0.1111111111111111
Insoluble_Oxalate,RandomForest,19,24,0.23250657117408607,0.0
Insoluble_Oxalate,RandomForest,19,25,0.34521581891832553,0.25
Insoluble_Oxalate,RandomForest,19,26,0.2326494129359634,0.0
